Timestamp,Value
2024-09-09T08:50:59.978Z,807.8935
2024-09-09T08:51:04.981Z,431.3716
2024-09-09T08:51:09.995Z,356.6728
2024-09-09T08:51:14.998Z,311.3908
2024-09-09T08:51:19.997Z,849.7206
2024-09-09T08:51:25.005Z,367.0226
2024-09-09T08:51:30.013Z,495.6820
2024-09-09T08:51:35.018Z,278.5908
2024-09-09T08:51:40.031Z,869.2751
2024-09-09T08:51:45.037Z,693.6858
2024-09-09T09:10:16.218Z,948.4886
2024-09-09T09:10:18.220Z,80.2800
2024-09-09T09:10:20.234Z,913.9063
2024-09-09T09:10:22.256Z,519.9781
2024-09-09T09:10:24.257Z,283.6894
2024-09-09T09:10:26.268Z,117.7252
2024-09-09T09:10:28.274Z,503.8364
2024-09-09T09:10:30.288Z,75.2074
2024-09-09T09:10:32.292Z,894.6816
2024-09-09T09:10:34.305Z,713.1163
2024-09-09T09:10:36.308Z,580.4226
2024-09-09T09:10:38.323Z,935.3882
2024-09-09T09:10:40.323Z,10.2354
