Timestamp,Value,Anomaly
2024-09-09T08:50:59.978Z,807.8935,1
2024-09-09T08:51:04.981Z,431.3716,0
2024-09-09T08:51:09.995Z,356.6728,0
2024-09-09T08:51:14.998Z,311.3908,0
2024-09-09T08:51:19.997Z,849.7206,1
2024-09-09T08:51:25.005Z,367.0226,0
2024-09-09T08:51:30.013Z,495.6820,0
2024-09-09T08:51:35.018Z,278.5908,0
2024-09-09T08:51:40.031Z,869.2751,1
2024-09-09T08:51:45.037Z,693.6858,0
2024-09-09T09:10:16.218Z,948.4886,1
2024-09-09T09:10:18.220Z,80.2800,0
2024-09-09T09:10:20.234Z,913.9063,1
2024-09-09T09:10:22.256Z,519.9781,0
2024-09-09T09:10:24.257Z,283.6894,0
2024-09-09T09:10:26.268Z,117.7252,0
2024-09-09T09:10:28.274Z,503.8364,0
2024-09-09T09:10:30.288Z,75.2074,0
2024-09-09T09:10:32.292Z,894.6816,1
2024-09-09T09:10:34.305Z,713.1163,0
2024-09-09T09:10:36.308Z,580.4226,0
2024-09-09T09:10:38.323Z,935.3882,1
2024-09-09T09:10:40.323Z,10.2354,0
